udp://8.8.8.8:53
udp://1.1.1.1:53
udp://8.8.4.4:53
udp://9.9.9.9:53
udp://208.67.222.222:53
udp://208.67.220.220:53
udp://5.5.5.5:53
udp://3.2.1.1:53
